ID do pedido,Data,Cod. Produto,ID Loja,Quantidade,Valor Unitario,Valor Total
42409,44200,GO0003,L90011,5,50.42,252.1
61360,44200,TR0003,L90011,1,6.71,6.71
74774,44200,GO0001,L90011,1,162.26,162.26
98054,44200,TR0003,L90011,2,6.71,13.42
101623,44200,GO0003,L90011,1,50.42,50.42
18135,44201,GO0003,L90011,1,56.29,56.29
21622,44201,TR0003,L90011,2,6.71,13.42
30448,44201,GO0002,L90011,2,84.3,168.6
31049,44201,TR0004,L90011,1,8.87,8.87
42621,44201,BO0004,L90011,2,50.42,100.84
45041,44201,BO0002,L90011,1,16.42,16.42
48506,44201,BA0001,L90011,2,86.85,173.7
50973,44201,GO0003,L90011,2,86.85,173.7
58735,44201,GO0002,L90011,2,84.3,168.6
60259,44201,GO0003,L90011,1,69.04,69.04
64014,44201,BO0003,L90011,1,23.29,23.29
70622,44201,GO0004,L90011,1,86.88,86.88
75973,44201,BO0004,L90011,2,56.29,112.58
92480,44201,BO0004,L90011,2,46.52,93.04
93361,44201,BA0003,L90011,1,33.76,33.76
99964,44201,GO0003,L90011,1,69.04,69.04
100684,44201,GO0003,L90011,1,67.43,67.43
101425,44201,BO0001,L90011,3,14.74,44.22
101545,44201,TR0004,L90011,1,8.87,8.87
105041,44201,BA0002,L90011,2,11.62,23.24
108993,44201,GO0003,L90011,1,69.04,69.04
10413,44202,GO0002,L90011,1,84.3,84.3
11943,44202,TR0002,L90011,3,5.37,16.11
13176,44202,GO0002,L90011,5,84.3,421.5
47577,44202,GO0003,L90011,1,69.04,69.04
49519,44202,BO0004,L90011,2,56.29,112.58
50112,44202,BA0004,L90011,4,41.78,167.12
61502,44202,TR0004,L90011,3,8.87,26.61
73451,44202,BA0002,L90011,1,11.62,11.62
76007,44202,GO0004,L90011,1,86.88,86.88
77873,44202,BO0002,L90011,1,16.42,16.42
78421,44202,BA0004,L90011,2,41.78,83.56
80004,44202,BA0001,L90011,1,50.42,50.42
82166,44202,GO0002,L90011,2,84.3,168.6
83253,44202,BA0001,L90011,1,67.43,67.43
95194,44202,GO0003,L90011,2,86.85,173.7
104006,44202,TR0001,L90011,2,8.06,16.12
11999,44203,GO0003,L90011,2,50.42,100.84
13134,44203,GO0002,L90011,1,84.3,84.3
39708,44203,GO0003,L90011,3,69.04,207.12
40392,44203,BO0004,L90011,1,46.52,46.52
40549,44203,GO0001,L90011,4,162.26,649.04
42444,44203,TR0004,L90011,2,8.87,17.74
47581,44203,GO0001,L90011,1,162.26,162.26
50999,44203,GO0002,L90011,1,84.3,84.3
69663,44203,GO0003,L90011,1,50.42,50.42
84341,44203,BA0002,L90011,1,11.62,11.62
84651,44203,BO0002,L90011,2,16.42,32.84
91334,44203,GO0001,L90011,1,162.26,162.26
95486,44203,BO0001,L90011,2,14.74,29.48
99577,44203,BA0002,L90011,1,11.62,11.62
21845,44204,TR0002,L90011,2,5.37,10.74
23014,44204,TR0004,L90011,1,8.87,8.87
25089,44204,GO0002,L90011,2,84.3,168.6
27958,44204,GO0003,L90011,4,67.43,269.72
31712,44204,BO0004,L90011,2,50.42,100.84
45910,44204,TR0001,L90011,2,8.06,16.12
48653,44204,BA0001,L90011,2,50.42,100.84
55643,44204,BO0004,L90011,1,46.52,46.52
68012,44204,GO0003,L90011,1,56.29,56.29
87267,44204,BO0001,L90011,1,14.74,14.74
92544,44204,TR0003,L90011,1,6.71,6.71
105589,44204,GO0003,L90011,3,56.29,168.87
107518,44204,GO0003,L90011,2,50.42,100.84
10518,44205,BA0001,L90011,3,86.85,260.55
16385,44205,GO0003,L90011,1,69.04,69.04
17694,44205,BO0001,L90013,2,14.74,29.48
29646,44205,BA0001,L90013,2,56.29,112.58
50390,44205,GO0003,L90013,5,69.04,345.2
57622,44205,GO0003,L90013,1,86.85,86.85
58784,44205,GO0001,L90013,3,162.26,486.78
59299,44205,GO0003,L90013,1,69.04,69.04
62039,44205,BA0003,L90013,1,33.76,33.76
70342,44205,TR0004,L90013,2,8.87,17.74
73223,44205,GO0003,L90013,1,69.04,69.04
95754,44205,BA0001,L90013,2,67.43,134.86
100037,44205,BO0003,L90013,1,23.29,23.29
100051,44205,BA0001,L90013,1,21.71,21.71
14151,44206,TR0002,L90013,3,5.37,16.11
21436,44206,TR0003,L90013,5,6.71,33.55
26360,44206,TR0002,L90013,5,5.37,26.85
27210,44206,BO0002,L90013,3,16.42,49.26
27732,44206,TR0001,L90013,2,8.06,16.12
28777,44206,TR0002,L90013,1,5.37,5.37
34399,44206,GO0002,L90013,2,84.3,168.6
40883,44206,BO0004,L90013,1,56.29,56.29
43961,44206,GO0004,L90011,4,86.88,347.52
50993,44206,GO0002,L90011,1,84.3,84.3
53819,44206,BO0002,L90011,1,16.42,16.42
54674,44206,TR0002,L90011,1,5.37,5.37
66544,44206,TR0003,L90011,2,6.71,13.42
73336,44206,BO0003,L90011,4,23.29,93.16
76762,44206,BA0004,L90011,2,41.78,83.56
80301,44206,GO0001,L90011,1,162.26,162.26
91803,44206,BO0002,L90011,3,16.42,49.26
102776,44206,GO0003,L90011,2,86.85,173.7
109735,44206,GO0003,L90011,2,86.85,173.7
20677,44207,GO0001,L90011,1,162.26,162.26
21532,44207,BA0001,L90011,1,50.42,50.42
33751,44207,BO0004,L90011,1,86.85,86.85
48781,44207,TR0002,L90013,1,5.37,5.37
52370,44207,BA0002,L90013,2,11.62,23.24
62175,44207,TR0003,L90013,2,6.71,13.42
63028,44207,BA0001,L90013,2,21.71,43.42
63724,44207,GO0002,L90013,4,84.3,337.2
67814,44207,BO0004,L90013,5,67.43,337.15
68441,44207,GO0002,L90013,2,84.3,168.6
70725,44207,GO0001,L90013,2,162.26,324.52
90871,44207,TR0004,L90013,2,8.87,17.74
91259,44207,BO0001,L90013,3,14.74,44.22
101813,44207,GO0003,L90013,5,69.04,345.2
105841,44207,BA0001,L90013,1,56.29,56.29
108367,44207,GO0004,L90013,2,86.88,173.76
14300,44208,BO0004,L90013,2,50.42,100.84
19579,44208,GO0004,L90013,2,86.88,173.76
19686,44208,TR0001,L90013,1,8.06,8.06
40791,44208,TR0003,L90013,2,6.71,13.42
41141,44208,BA0001,L90013,1,56.29,56.29
43267,44208,BO0004,L90011,2,46.52,93.04
47365,44208,TR0003,L90011,2,6.71,13.42
53985,44208,BO0004,L90011,3,86.85,260.55
67813,44208,TR0003,L90011,2,6.71,13.42
68893,44208,GO0003,L90013,2,69.04,138.08
70327,44208,GO0003,L90013,2,67.43,134.86
70574,44208,BO0004,L90013,1,56.29,56.29
76231,44208,GO0003,L90013,1,69.04,69.04
83637,44208,BA0001,L90013,2,56.29,112.58
85569,44208,TR0004,L90013,2,8.87,17.74
96676,44208,BO0001,L90013,3,14.74,44.22
105558,44208,GO0002,L90013,3,84.3,252.9
107582,44208,BO0004,L90011,1,67.43,67.43
14302,44209,BA0002,L90011,2,11.62,23.24
28534,44209,BO0002,L90011,1,16.42,16.42
44627,44209,GO0003,L90011,3,50.42,151.26
51046,44209,TR0003,L90011,3,6.71,20.13
61010,44209,GO0002,L90011,4,84.3,337.2
69798,44209,BO0004,L90011,2,67.43,134.86
76623,44209,GO0002,L90011,2,84.3,168.6
77169,44209,GO0001,L90011,2,162.26,324.52
82862,44209,BO0003,L90011,2,23.29,46.58
88925,44209,BO0004,L90011,2,56.29,112.58
100631,44209,BO0004,L90011,2,46.52,93.04
107815,44209,GO0002,L90011,1,84.3,84.3
14837,44210,BO0003,L90011,4,23.29,93.16
23518,44210,GO0003,L90011,5,69.04,345.2
28956,44210,TR0004,L90011,1,8.87,8.87
35608,44210,GO0001,L90011,2,162.26,324.52
38693,44210,BO0002,L90011,2,16.42,32.84
44035,44210,GO0004,L90011,2,86.88,173.76
45461,44210,GO0001,L90011,2,162.26,324.52
55748,44210,BA0001,L90011,3,67.43,202.29
66404,44210,BA0003,L90011,1,33.76,33.76
70277,44210,BO0004,L90011,1,46.52,46.52
72978,44210,BO0002,L90011,4,16.42,65.68
78588,44210,GO0003,L90011,1,56.29,56.29
104900,44210,BO0003,L90011,1,23.29,23.29
19074,44211,BO0004,L90011,4,46.52,186.08
67055,44211,GO0003,L90011,2,86.85,173.7
76674,44211,BO0001,L90011,1,14.74,14.74
78068,44211,BO0004,L90011,2,50.42,100.84
86108,44211,GO0002,L90011,1,84.3,84.3
92960,44211,TR0001,L90011,4,8.06,32.24
97253,44211,TR0002,L90011,1,5.37,5.37
98834,44211,TR0004,L90011,1,8.87,8.87
99218,44211,GO0002,L90011,2,84.3,168.6
101327,44211,GO0003,L90011,2,69.04,138.08
106593,44211,GO0004,L90011,2,86.88,173.76
25393,44212,TR0003,L90011,1,6.71,6.71
48977,44212,BO0004,L90011,2,50.42,100.84
49413,44212,TR0004,L90011,3,8.87,26.61
51106,44212,BO0001,L90011,2,14.74,29.48
55042,44212,TR0004,L90011,1,8.87,8.87
61326,44212,GO0001,L90011,2,162.26,324.52
79754,44212,GO0003,L90011,2,56.29,112.58
84707,44212,GO0003,L90011,1,69.04,69.04
87278,44212,GO0003,L90011,3,67.43,202.29
88158,44212,BO0004,L90011,1,67.43,67.43
90479,44212,GO0001,L90011,2,162.26,324.52
100536,44212,BA0001,L90011,3,86.85,260.55
106444,44212,BA0001,L90011,1,21.71,21.71
19463,44213,BO0004,L90011,2,50.42,100.84
21784,44213,BA0001,L90011,1,67.43,67.43
24216,44213,BO0004,L90011,2,46.52,93.04
25437,44213,TR0001,L90011,4,8.06,32.24
32196,44213,GO0002,L90011,1,84.3,84.3
33703,44213,GO0001,L90011,3,162.26,486.78
36550,44213,TR0004,L90011,4,8.87,35.48
44149,44213,GO0003,L90011,1,56.29,56.29
44921,44213,BO0002,L90011,5,16.42,82.1
47510,44213,GO0003,L90011,1,67.43,67.43
50977,44213,GO0003,L90011,3,86.85,260.55
60468,44213,BO0001,L90011,4,14.74,58.96
93422,44213,GO0001,L90011,2,162.26,324.52
94423,44213,TR0003,L90011,2,6.71,13.42
100164,44213,BO0004,L90011,1,67.43,67.43
11991,44214,BO0004,L90011,1,46.52,46.52
18260,44214,BA0001,L90011,1,86.85,86.85
22442,44214,BA0001,L90011,4,67.43,269.72
34205,44214,BA0002,L90011,2,11.62,23.24
37377,44214,GO0003,L90011,5,69.04,345.2
46534,44214,GO0004,L90011,1,86.88,86.88
61250,44214,GO0001,L90011,1,162.26,162.26
75214,44214,BO0004,L90011,2,86.85,173.7
75715,44214,GO0004,L90011,5,86.88,434.4
90570,44214,BA0001,L90011,2,67.43,134.86
101426,44214,GO0003,L90011,1,56.29,56.29
101636,44214,GO0002,L90011,2,84.3,168.6
102263,44214,BA0001,L90011,1,67.43,67.43
15930,44215,BA0004,L90011,1,41.78,41.78
33209,44215,BA0001,L90011,2,50.42,100.84
36442,44215,GO0003,L90011,5,69.04,345.2
41566,44215,GO0003,L90011,2,69.04,138.08
49702,44215,BA0001,L90011,1,21.71,21.71
56096,44215,BO0004,L90011,2,46.52,93.04
60968,44215,GO0002,L90011,2,84.3,168.6
62001,44215,GO0004,L90011,1,86.88,86.88
67175,44215,BO0004,L90011,1,50.42,50.42
85784,44215,GO0003,L90011,1,67.43,67.43
85986,44215,BO0001,L90011,2,14.74,29.48
89555,44215,BO0004,L90011,3,56.29,168.87
91291,44215,BA0001,L90011,2,56.29,112.58
95595,44215,BA0001,L90011,1,21.71,21.71
103750,44215,TR0004,L90011,1,8.87,8.87
12502,44216,GO0003,L90011,5,56.29,281.45
14254,44216,GO0001,L90011,2,162.26,324.52
15107,44216,GO0004,L90011,2,86.88,173.76
15279,44216,GO0003,L90011,2,69.04,138.08
22470,44216,BO0004,L90011,1,86.85,86.85
25864,44216,GO0004,L90011,4,86.88,347.52
29117,44216,BO0004,L90011,2,50.42,100.84
30712,44216,GO0004,L90011,1,86.88,86.88
36016,44216,GO0001,L90011,2,162.26,324.52
46265,44216,BA0001,L90011,2,50.42,100.84
47383,44216,GO0003,L90011,2,69.04,138.08
59462,44216,BA0003,L90011,1,33.76,33.76
60298,44216,BO0003,L90011,1,23.29,23.29
68399,44216,GO0004,L90011,2,86.88,173.76
68429,44216,BO0004,L90011,1,50.42,50.42
72461,44216,BO0002,L90011,2,16.42,32.84
76305,44216,GO0002,L90011,2,84.3,168.6
76823,44216,GO0003,L90011,2,69.04,138.08
83504,44216,TR0004,L90011,2,8.87,17.74
95562,44216,GO0003,L90011,1,69.04,69.04
101292,44216,BA0001,L90011,2,67.43,134.86
32508,44217,BA0001,L90013,1,86.85,86.85
32676,44217,GO0002,L90013,2,84.3,168.6
43194,44217,TR0003,L90013,1,6.71,6.71
61697,44217,BO0004,L90013,1,86.85,86.85
66108,44217,GO0004,L90013,2,86.88,173.76
67047,44217,GO0003,L90013,1,67.43,67.43
79936,44217,BA0001,L90013,2,56.29,112.58
79996,44217,BO0004,L90013,1,86.85,86.85
83390,44217,GO0003,L90013,4,50.42,201.68
90550,44217,GO0004,L90013,2,86.88,173.76
106711,44217,BO0002,L90013,2,16.42,32.84
22343,44218,BO0004,L90013,2,86.85,173.7
25205,44218,GO0004,L90013,2,86.88,173.76
26979,44218,BA0001,L90013,2,50.42,100.84
31015,44218,TR0002,L90013,1,5.37,5.37
51148,44218,BO0004,L90013,1,56.29,56.29
68710,44218,BA0001,L90011,5,67.43,337.15
73927,44218,GO0003,L90011,2,56.29,112.58
80010,44218,GO0002,L90011,1,84.3,84.3
109069,44218,BA0001,L90011,1,50.42,50.42
13534,44219,TR0003,L90011,4,6.71,26.84
21335,44219,TR0002,L90011,2,5.37,10.74
24467,44219,BO0002,L90011,1,16.42,16.42
39689,44219,TR0004,L90013,5,8.87,44.35
49415,44219,GO0004,L90013,3,86.88,260.64
49898,44219,BA0001,L90013,2,67.43,134.86
55962,44219,TR0002,L90013,1,5.37,5.37
57308,44219,TR0003,L90013,1,6.71,6.71
69023,44219,GO0002,L90013,2,84.3,168.6
79854,44219,GO0004,L90013,1,86.88,86.88
80806,44219,BA0002,L90013,2,11.62,23.24
96902,44219,BO0004,L90013,2,67.43,134.86
100668,44219,TR0001,L90013,1,8.06,8.06
12724,44220,GO0002,L90013,1,84.3,84.3
14309,44220,TR0001,L90013,5,8.06,40.3
14319,44220,BO0004,L90013,1,86.85,86.85
25153,44220,BO0004,L90013,2,46.52,93.04
42489,44220,TR0002,L90013,1,5.37,5.37
45855,44220,BA0001,L90013,2,67.43,134.86
46655,44220,GO0004,L90013,1,86.88,86.88
47284,44220,BA0001,L90013,1,50.42,50.42
53395,44220,BA0001,L90013,1,56.29,56.29
58819,44220,BO0004,L90013,4,86.85,347.4
63038,44220,BO0004,L90013,1,46.52,46.52
84644,44220,BA0001,L90013,2,56.29,112.58
91934,44220,BO0003,L90013,1,23.29,23.29
96518,44220,GO0003,L90013,2,86.85,173.7
103580,44220,TR0002,L90013,2,5.37,10.74
108820,44220,TR0004,L90013,2,8.87,17.74
17686,44221,TR0003,L90013,4,6.71,26.84
19924,44221,BO0001,L90013,2,14.74,29.48
20426,44221,GO0003,L90013,1,69.04,69.04
28081,44221,GO0004,L90013,1,86.88,86.88
28889,44221,BA0001,L90013,1,86.85,86.85
38873,44221,BO0001,L90013,1,14.74,14.74
61008,44221,GO0003,L90013,2,56.29,112.58
63390,44221,BO0004,L90013,2,67.43,134.86
77396,44221,TR0003,L90013,4,6.71,26.84
83359,44221,TR0003,L90013,1,6.71,6.71
90552,44221,BO0004,L90013,2,67.43,134.86
92791,44221,GO0002,L90013,4,84.3,337.2
96712,44221,GO0004,L90013,2,86.88,173.76
100113,44221,BA0004,L90013,2,41.78,83.56
26913,44222,GO0003,L90013,4,69.04,276.16
27090,44222,TR0003,L90013,3,6.71,20.13
34445,44222,BA0001,L90013,1,21.71,21.71
47526,44222,GO0002,L90013,2,84.3,168.6
47876,44222,GO0004,L90013,1,86.88,86.88
55830,44222,GO0003,L90013,2,67.43,134.86
57038,44222,BA0001,L90013,2,67.43,134.86
58126,44222,TR0001,L90013,5,8.06,40.3
60387,44222,BO0004,L90013,3,86.85,260.55
60458,44222,BO0004,L90013,1,86.85,86.85
61254,44222,BO0004,L90013,1,56.29,56.29
63037,44222,TR0002,L90013,1,5.37,5.37
73594,44222,GO0002,L90013,2,84.3,168.6
74292,44222,BO0001,L90013,1,14.74,14.74
75760,44222,BA0003,L90013,2,33.76,67.52
75773,44222,BA0001,L90013,1,50.42,50.42
80421,44222,GO0001,L90013,2,162.26,324.52
81612,44222,GO0003,L90013,2,69.04,138.08
84206,44222,GO0003,L90011,4,67.43,269.72
86731,44222,BA0004,L90011,1,41.78,41.78
88889,44222,TR0002,L90011,1,5.37,5.37
95934,44222,GO0004,L90011,1,86.88,86.88
96337,44222,GO0003,L90011,1,69.04,69.04
96646,44222,GO0001,L90011,2,162.26,324.52
101042,44222,BA0001,L90011,2,21.71,43.42
103559,44222,BA0001,L90011,3,21.71,65.13
13420,44223,GO0001,L90011,1,162.26,162.26
14156,44223,BO0002,L90011,1,16.42,16.42
17595,44223,BA0001,L90011,1,56.29,56.29
20915,44223,GO0003,L90011,1,69.04,69.04
32390,44223,TR0002,L90011,1,5.37,5.37
33985,44223,BA0001,L90011,2,56.29,112.58
47263,44223,GO0004,L90011,2,86.88,173.76
54771,44223,GO0002,L90011,2,84.3,168.6
57673,44223,BA0003,L90011,1,33.76,33.76
59778,44223,BO0002,L90011,2,16.42,32.84
64240,44223,GO0001,L90011,2,162.26,324.52
67089,44223,GO0003,L90011,1,69.04,69.04
68065,44223,GO0001,L90011,2,162.26,324.52
101929,44223,GO0002,L90011,1,84.3,84.3
29364,44224,TR0002,L90011,2,5.37,10.74
34974,44224,BO0004,L90011,1,50.42,50.42
41210,44224,BA0001,L90011,1,86.85,86.85
46785,44224,GO0004,L90011,1,86.88,86.88
47308,44224,BO0004,L90011,1,56.29,56.29
48368,44224,TR0004,L90011,2,8.87,17.74
56785,44224,GO0003,L90011,1,50.42,50.42
68753,44224,GO0003,L90011,1,56.29,56.29
74551,44224,TR0002,L90011,2,5.37,10.74
74951,44224,GO0003,L90011,1,67.43,67.43
89490,44224,BO0004,L90013,2,86.85,173.7
104036,44224,GO0003,L90013,2,50.42,100.84
10126,44225,BA0001,L90013,5,86.85,434.25
12828,44225,TR0001,L90013,3,8.06,24.18
27639,44225,BA0001,L90013,3,21.71,65.13
30096,44225,GO0001,L90013,2,162.26,324.52
30185,44225,GO0003,L90013,1,69.04,69.04
33327,44225,BO0001,L90013,2,14.74,29.48
49940,44225,BA0001,L90013,2,86.85,173.7
51202,44225,GO0003,L90013,2,69.04,138.08
53528,44225,TR0003,L90013,1,6.71,6.71
55460,44225,BO0002,L90013,1,16.42,16.42
57859,44225,GO0002,L90013,1,84.3,84.3
63185,44225,GO0002,L90013,1,84.3,84.3
71026,44225,TR0004,L90013,1,8.87,8.87
82987,44225,TR0004,L90013,1,8.87,8.87
83915,44225,GO0003,L90013,3,67.43,202.29
13730,44226,GO0002,L90013,1,84.3,84.3
14975,44226,BO0002,L90013,2,16.42,32.84
32999,44226,GO0002,L90013,2,84.3,168.6
34185,44226,GO0004,L90013,1,86.88,86.88
34579,44226,GO0004,L90013,5,86.88,434.4
36594,44226,GO0003,L90013,1,56.29,56.29
37507,44226,BO0002,L90013,2,16.42,32.84
37696,44226,TR0001,L90013,5,8.06,40.3
84243,44226,TR0004,L90013,1,8.87,8.87
87334,44226,BO0004,L90013,2,67.43,134.86
10535,44227,TR0002,L90013,1,5.37,5.37
20401,44227,GO0002,L90013,1,84.3,84.3
26812,44227,TR0002,L90013,2,5.37,10.74
39624,44227,TR0003,L90013,1,6.71,6.71
58739,44227,BO0001,L90013,2,14.74,29.48
70623,44227,TR0001,L90011,1,8.06,8.06
72416,44227,GO0003,L90011,3,67.43,202.29
86079,44227,GO0003,L90011,2,69.04,138.08
87787,44227,BO0004,L90011,1,50.42,50.42
100325,44227,GO0003,L90011,3,69.04,207.12
103624,44227,GO0003,L90011,1,86.85,86.85
108896,44227,BO0004,L90011,3,46.52,139.56
13958,44228,TR0004,L90011,3,8.87,26.61
18510,44228,GO0003,L90011,1,86.85,86.85
36871,44228,TR0003,L90011,1,6.71,6.71
39104,44228,GO0002,L90011,2,84.3,168.6
40939,44228,TR0003,L90011,1,6.71,6.71
49284,44228,BO0004,L90011,1,46.52,46.52
60868,44228,BO0003,L90011,1,23.29,23.29
72501,44228,GO0003,L90011,2,67.43,134.86
75508,44228,GO0003,L90011,3,86.85,260.55
79816,44228,GO0003,L90011,3,50.42,151.26
102901,44228,GO0003,L90011,2,69.04,138.08
105620,44228,TR0002,L90011,2,5.37,10.74
108920,44228,TR0001,L90011,2,8.06,16.12
14093,44229,BA0001,L90011,5,21.71,108.55
16578,44229,TR0002,L90011,2,5.37,10.74
16671,44229,BO0003,L90011,2,23.29,46.58
17052,44229,BO0004,L90011,3,67.43,202.29
20758,44229,BA0001,L90011,2,50.42,100.84
27287,44229,BO0004,L90011,3,67.43,202.29
40401,44229,GO0001,L90011,2,162.26,324.52
42202,44229,TR0003,L90011,1,6.71,6.71
47032,44229,TR0002,L90011,4,5.37,21.48
48284,44229,BO0004,L90011,2,86.85,173.7
54631,44229,TR0002,L90011,2,5.37,10.74
83077,44229,BA0001,L90011,2,50.42,100.84
88650,44229,BO0004,L90011,1,50.42,50.42
96386,44229,TR0003,L90011,3,6.71,20.13
102388,44229,GO0001,L90011,2,162.26,324.52
107002,44229,TR0001,L90011,1,8.06,8.06
108265,44229,GO0003,L90011,5,86.85,434.25
16048,44230,BA0004,L90011,1,41.78,41.78
20634,44230,BO0001,L90011,1,14.74,14.74
32806,44230,GO0004,L90011,1,86.88,86.88
33654,44230,GO0002,L90011,1,84.3,84.3
38705,44230,BO0001,L90011,1,14.74,14.74
40349,44230,BA0001,L90011,1,86.85,86.85
50717,44230,TR0002,L90011,3,5.37,16.11
64401,44230,BO0004,L90011,2,67.43,134.86
68527,44230,BA0003,L90011,2,33.76,67.52
78829,44230,TR0002,L90011,2,5.37,10.74
83295,44230,GO0003,L90011,2,69.04,138.08
87119,44230,TR0002,L90011,1,5.37,5.37
95284,44230,BO0004,L90011,1,56.29,56.29
96151,44230,BO0001,L90011,2,14.74,29.48
104803,44230,GO0001,L90011,5,162.26,811.3
14000,44231,GO0004,L90011,1,86.88,86.88
17591,44231,GO0003,L90011,2,86.85,173.7
20804,44231,GO0004,L90011,2,86.88,173.76
25523,44231,BA0001,L90011,1,56.29,56.29
26959,44231,BO0004,L90011,2,67.43,134.86
27081,44231,BO0004,L90011,1,56.29,56.29
28949,44231,GO0003,L90011,2,67.43,134.86
33929,44231,GO0003,L90011,3,69.04,207.12
48149,44231,GO0004,L90011,2,86.88,173.76
49024,44231,BO0002,L90011,2,16.42,32.84
52720,44231,BA0001,L90011,2,56.29,112.58
68127,44231,BO0002,L90011,1,16.42,16.42
68578,44231,BO0002,L90011,1,16.42,16.42
72792,44231,GO0004,L90011,1,86.88,86.88
77164,44231,BO0004,L90011,1,56.29,56.29
81965,44231,GO0001,L90011,3,162.26,486.78
82064,44231,BA0001,L90011,2,86.85,173.7
85405,44231,GO0001,L90011,2,162.26,324.52
105421,44231,BA0001,L90011,1,86.85,86.85
106828,44231,GO0003,L90011,1,67.43,67.43
15819,44232,BA0001,L90011,2,86.85,173.7
21565,44232,BA0004,L90011,3,41.78,125.34
27068,44232,BO0003,L90011,1,23.29,23.29
44905,44232,BA0004,L90011,2,41.78,83.56
48426,44232,BO0002,L90011,1,16.42,16.42
55006,44232,TR0001,L90011,1,8.06,8.06
56421,44232,BO0002,L90011,2,16.42,32.84
63973,44232,TR0004,L90011,3,8.87,26.61
68994,44232,BA0001,L90011,1,67.43,67.43
69745,44232,GO0001,L90011,1,162.26,162.26
69968,44232,TR0003,L90011,2,6.71,13.42
70320,44232,GO0001,L90011,1,162.26,162.26
86186,44232,BA0001,L90011,3,56.29,168.87
86740,44232,BA0001,L90011,2,86.85,173.7
93478,44232,BA0001,L90011,1,56.29,56.29
93551,44232,GO0004,L90011,1,86.88,86.88
93846,44232,TR0002,L90011,1,5.37,5.37
99051,44232,BO0001,L90011,2,14.74,29.48
10834,44233,TR0004,L90011,1,8.87,8.87
16614,44233,BA0001,L90011,3,21.71,65.13
20080,44233,BA0001,L90011,1,67.43,67.43
24943,44233,GO0003,L90011,2,69.04,138.08
30804,44233,GO0003,L90011,2,67.43,134.86
36961,44233,TR0001,L90011,3,8.06,24.18
38289,44233,BO0004,L90011,1,56.29,56.29
38961,44233,GO0002,L90011,1,84.3,84.3
46354,44233,GO0004,L90011,1,86.88,86.88
49877,44233,BO0003,L90011,5,23.29,116.45
62958,44233,BO0004,L90011,1,50.42,50.42
66463,44233,TR0001,L90011,1,8.06,8.06
82301,44233,GO0003,L90011,1,50.42,50.42
85016,44233,GO0001,L90011,2,162.26,324.52
89338,44233,GO0001,L90013,5,162.26,811.3
94796,44233,BO0002,L90013,2,16.42,32.84
97271,44233,BA0001,L90013,1,86.85,86.85
101572,44233,GO0001,L90013,2,162.26,324.52
101750,44233,GO0001,L90013,2,162.26,324.52
12609,44234,BA0001,L90013,4,50.42,201.68
16069,44234,GO0003,L90013,1,69.04,69.04
18618,44234,GO0003,L90013,2,86.85,173.7
18736,44234,GO0003,L90013,3,86.85,260.55
21078,44234,BO0004,L90013,2,67.43,134.86
25561,44234,TR0002,L90013,2,5.37,10.74
27161,44234,BA0001,L90013,1,56.29,56.29
28321,44234,TR0002,L90013,2,5.37,10.74
31147,44234,TR0002,L90013,5,5.37,26.85
52028,44234,BO0004,L90013,1,86.85,86.85
